item_name,category,unit,unit_price_ils,notes
מלמין 18 מ"מ,material,cabinet,320,ארון בסיסי מלמין
פורניר אלון,material,cabinet,780,פורניר אלון טבעי
לכה מט,material,cabinet,920,צביעה בתנור
MDF צבוע,material,cabinet,650,
מגירה רגילה,hardware,unit,120,מגירת מתכת בסיסית
מגירת בלום,hardware,unit,280,Blum Tandembox
מגירת האפלה,hardware,unit,240,Hettich
ציר רגיל,hardware,unit,18,
ציר בלום סגירה שקטה,hardware,unit,42,Blum Blumotion
ידית כרום,hardware,unit,35,
ידית שחורה,hardware,unit,45,סגסוגת שחורה
ידית נירוסטה,hardware,unit,55,
שיש אבן קיסר,material,meter,1450,Caesarstone
שיש גרניט,material,meter,1100,
שיש למינציה,material,meter,450,
פורמייקה,material,meter,380,
הובלה והתקנה,transport,flat,250,
